CustomerID,CSAT_Score,NPS_Category,NPS_Score_Numeric,Open_Ended_Feedback,Survey_Date
CUST_0031,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-10-22
CUST_0032,3,Promoter,10,The streaming quality was terrible during the last game.,2024-11-01
CUST_0033,2,Detractor,0,I love the new commentator! Great addition to the team.,2024-02-01
CUST_0034,3,Promoter,10,Wish there were more pre-game analysis segments.,2024-08-01
CUST_0035,1,Passive,5,"No feedback, everything seems to be working fine.",2024-12-28
CUST_0036,3,Detractor,0,"No feedback, everything seems to be working fine.",2024-03-10
CUST_0037,1,Passive,5,"The app keeps crashing, please fix it.",2024-10-28
CUST_0038,5,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-23
CUST_0039,3,Detractor,0,"No feedback, everything seems to be working fine.",2024-05-19
CUST_0040,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-04-21
CUST_0041,4,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-29
CUST_0042,4,Detractor,0,I love the new commentator! Great addition to the team.,2024-01-16
CUST_0043,4,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-02-17
CUST_0044,1,Promoter,10,Wish there were more pre-game analysis segments.,2024-09-04
CUST_0045,1,Detractor,0,The streaming quality was terrible during the last game.,2024-02-17
CUST_0046,4,Passive,5,"No feedback, everything seems to be working fine.",2024-01-24
CUST_0047,3,Detractor,0,I love the new commentator! Great addition to the team.,2024-05-08
CUST_0048,5,Promoter,10,I love the new commentator! Great addition to the team.,2024-12-13
CUST_0049,2,Passive,5,I love the new commentator! Great addition to the team.,2024-09-08
CUST_0050,3,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-02-27
CUST_0051,3,Promoter,10,Wish there were more pre-game analysis segments.,2024-12-28
CUST_0052,1,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-08-12
CUST_0053,2,Promoter,10,Subscription price is too high for what's offered.,2024-12-29
CUST_0054,2,Promoter,10,"No feedback, everything seems to be working fine.",2024-05-26
CUST_0055,5,Passive,5,The streaming quality was terrible during the last game.,2024-10-05
CUST_0056,5,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-03-02
CUST_0057,4,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-06-24
CUST_0058,5,Detractor,0,The streaming quality was terrible during the last game.,2024-11-03
CUST_0059,4,Detractor,0,"The app keeps crashing, please fix it.",2024-03-21
CUST_0060,5,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-09-28
CUST_0061,5,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-01-08
CUST_0062,4,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-01-07
CUST_0063,2,Detractor,0,Subscription price is too high for what's offered.,2024-01-24
CUST_0064,5,Detractor,0,"No feedback, everything seems to be working fine.",2024-06-22
CUST_0065,1,Passive,5,"No feedback, everything seems to be working fine.",2024-11-09
CUST_0066,1,Passive,5,Wish there were more pre-game analysis segments.,2024-07-01
CUST_0067,5,Promoter,10,The streaming quality was terrible during the last game.,2024-08-21
CUST_0068,1,Promoter,10,Subscription price is too high for what's offered.,2024-01-20
CUST_0069,5,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-27
CUST_0070,4,Detractor,0,Wish there were more pre-game analysis segments.,2024-06-16
CUST_0071,2,Promoter,10,"No feedback, everything seems to be working fine.",2024-08-11
CUST_0072,1,Detractor,0,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-09-10
CUST_0073,5,Passive,5,Subscription price is too high for what's offered.,2024-03-28
CUST_0074,5,Detractor,0,"No feedback, everything seems to be working fine.",2024-02-24
CUST_0075,4,Detractor,0,Subscription price is too high for what's offered.,2024-08-27
CUST_0076,2,Passive,5,"No feedback, everything seems to be working fine.",2024-07-27
CUST_0077,5,Detractor,0,"No feedback, everything seems to be working fine.",2024-01-14
CUST_0078,3,Promoter,10,"No feedback, everything seems to be working fine.",2024-02-23
CUST_0079,3,Promoter,10,"No feedback, everything seems to be working fine.",2024-07-07
CUST_0080,3,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-01-07
CUST_0081,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-12-28
CUST_0082,4,Detractor,0,The streaming quality was terrible during the last game.,2024-08-04
CUST_0083,1,Passive,5,The streaming quality was terrible during the last game.,2024-04-03
CUST_0084,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-04-09
CUST_0085,4,Passive,5,I love the new commentator! Great addition to the team.,2024-07-05
CUST_0086,3,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-05-15
CUST_0087,5,Detractor,0,"The app keeps crashing, please fix it.",2024-08-07
CUST_0088,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-01-30
CUST_0089,4,Detractor,0,"The app keeps crashing, please fix it.",2024-05-23
CUST_0090,5,Detractor,0,The streaming quality was terrible during the last game.,2024-10-20
CUST_0091,5,Passive,5,The streaming quality was terrible during the last game.,2024-02-02
CUST_0092,5,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-03-16
CUST_0093,1,Promoter,10,"No feedback, everything seems to be working fine.",2024-05-24
CUST_0094,2,Detractor,0,"No feedback, everything seems to be working fine.",2024-09-02
CUST_0095,1,Promoter,10,Subscription price is too high for what's offered.,2024-05-10
CUST_0096,4,Promoter,10,"The app keeps crashing, please fix it.",2024-08-21
CUST_0097,4,Promoter,10,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-05-05
CUST_0098,3,Passive,5,Wish there were more pre-game analysis segments.,2024-12-06
CUST_0099,1,Detractor,0,The streaming quality was terrible during the last game.,2024-03-05
CUST_0100,5,Promoter,10,"No feedback, everything seems to be working fine.",2024-10-04
CUST_0101,4,Passive,5,Subscription price is too high for what's offered.,2024-09-15
CUST_0102,4,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-06-18
CUST_0103,1,Promoter,10,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-10-07
CUST_0104,3,Promoter,10,Subscription price is too high for what's offered.,2024-11-08
CUST_0105,2,Detractor,0,"No feedback, everything seems to be working fine.",2024-07-10
CUST_0106,2,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-30
CUST_0107,4,Promoter,10,"No feedback, everything seems to be working fine.",2024-11-09
CUST_0108,5,Promoter,10,"No feedback, everything seems to be working fine.",2024-06-30
CUST_0109,5,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-05-23
CUST_0110,5,Detractor,0,Subscription price is too high for what's offered.,2024-05-06
CUST_0111,1,Promoter,10,"No feedback, everything seems to be working fine.",2024-02-27
CUST_0112,3,Passive,5,Subscription price is too high for what's offered.,2024-03-28
CUST_0113,5,Passive,5,"No feedback, everything seems to be working fine.",2024-01-10
CUST_0114,5,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-10-05
CUST_0115,3,Passive,5,I love the new commentator! Great addition to the team.,2024-10-06
CUST_0116,2,Promoter,10,The streaming quality was terrible during the last game.,2024-12-16
CUST_0117,5,Promoter,10,Subscription price is too high for what's offered.,2024-11-09
CUST_0118,1,Promoter,10,"No feedback, everything seems to be working fine.",2024-06-11
CUST_0119,4,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-02-29
CUST_0120,1,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-10-25
CUST_0121,2,Promoter,10,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-03-24
CUST_0122,5,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-08
CUST_0123,2,Promoter,10,The streaming quality was terrible during the last game.,2024-03-10
CUST_0124,3,Promoter,10,I love the new commentator! Great addition to the team.,2024-06-28
CUST_0125,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-04-30
CUST_0126,3,Promoter,10,"No feedback, everything seems to be working fine.",2024-08-12
CUST_0127,2,Promoter,10,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-07-09
CUST_0128,5,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-08-25
CUST_0129,4,Detractor,0,"The app keeps crashing, please fix it.",2024-02-05
CUST_0130,5,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-08-29
CUST_0131,3,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-11
CUST_0132,1,Passive,5,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-06-20
CUST_0133,4,Passive,5,"No feedback, everything seems to be working fine.",2024-03-31
CUST_0134,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-03-03
CUST_0135,4,Promoter,10,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-11-18
CUST_0136,5,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-01-26
CUST_0137,4,Passive,5,Wish there were more pre-game analysis segments.,2024-11-10
CUST_0138,2,Promoter,10,Wish there were more pre-game analysis segments.,2024-08-05
CUST_0139,5,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-07-07
CUST_0140,4,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-05-14
CUST_0141,3,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-10-07
CUST_0142,2,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-08-22
CUST_0143,4,Detractor,0,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-09-09
CUST_0144,2,Passive,5,"The app keeps crashing, please fix it.",2024-09-02
CUST_0145,5,Detractor,0,The streaming quality was terrible during the last game.,2024-07-19
CUST_0146,1,Promoter,10,Wish there were more pre-game analysis segments.,2024-11-10
CUST_0147,5,Detractor,0,"No feedback, everything seems to be working fine.",2024-07-05
CUST_0148,1,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-04-13
CUST_0149,1,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-02-06
CUST_0150,5,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-03
CUST_0151,5,Detractor,0,"No feedback, everything seems to be working fine.",2024-07-14
CUST_0152,1,Detractor,0,"The app keeps crashing, please fix it.",2024-12-11
CUST_0153,3,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-07-22
CUST_0154,1,Promoter,10,I love the new commentator! Great addition to the team.,2024-10-21
CUST_0155,1,Passive,5,"No feedback, everything seems to be working fine.",2024-05-19
CUST_0156,1,Promoter,10,I love the new commentator! Great addition to the team.,2024-07-12
CUST_0157,3,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-02-28
CUST_0158,3,Passive,5,Wish there were more pre-game analysis segments.,2024-07-08
CUST_0159,3,Detractor,0,"No feedback, everything seems to be working fine.",2024-01-27
CUST_0160,1,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-05-23
CUST_0161,2,Detractor,0,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-09-05
CUST_0162,1,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-10-19
CUST_0163,1,Promoter,10,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-02-16
CUST_0164,5,Detractor,0,"No feedback, everything seems to be working fine.",2024-04-29
CUST_0165,5,Passive,5,I love the new commentator! Great addition to the team.,2024-01-21
CUST_0166,3,Promoter,10,The streaming quality was terrible during the last game.,2024-04-09
CUST_0167,1,Detractor,0,The streaming quality was terrible during the last game.,2024-07-25
CUST_0168,4,Promoter,10,I love the new commentator! Great addition to the team.,2024-11-10
CUST_0169,2,Promoter,10,"No feedback, everything seems to be working fine.",2024-03-12
CUST_0170,4,Passive,5,Wish there were more pre-game analysis segments.,2024-07-24
CUST_0171,1,Detractor,0,"No feedback, everything seems to be working fine.",2024-04-27
CUST_0172,2,Promoter,10,Subscription price is too high for what's offered.,2024-11-05
CUST_0173,4,Detractor,0,"The app keeps crashing, please fix it.",2024-09-12
CUST_0174,4,Detractor,0,"No feedback, everything seems to be working fine.",2024-12-23
CUST_0175,4,Promoter,10,Wish there were more pre-game analysis segments.,2024-10-01
CUST_0176,2,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-06-10
CUST_0177,3,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-05-31
CUST_0178,4,Passive,5,"No feedback, everything seems to be working fine.",2024-05-20
CUST_0179,2,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-11-29
CUST_0180,5,Promoter,10,"The app keeps crashing, please fix it.",2024-01-03
CUST_0181,3,Detractor,0,Subscription price is too high for what's offered.,2024-10-02
CUST_0182,2,Passive,5,Wish there were more pre-game analysis segments.,2024-02-14
CUST_0183,1,Promoter,10,I love the new commentator! Great addition to the team.,2024-04-30
CUST_0184,5,Promoter,10,"The app keeps crashing, please fix it.",2024-06-21
CUST_0185,2,Promoter,10,Wish there were more pre-game analysis segments.,2024-05-29
CUST_0186,2,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-12-24
CUST_0187,5,Passive,5,I love the new commentator! Great addition to the team.,2024-05-25
CUST_0188,2,Promoter,10,"No feedback, everything seems to be working fine.",2024-10-20
CUST_0189,5,Promoter,10,The streaming quality was terrible during the last game.,2024-09-30
CUST_0190,4,Promoter,10,The streaming quality was terrible during the last game.,2024-01-05
CUST_0191,2,Detractor,0,I love the new commentator! Great addition to the team.,2024-09-05
CUST_0192,3,Detractor,0,Wish there were more pre-game analysis segments.,2024-09-17
CUST_0193,2,Passive,5,"The app keeps crashing, please fix it.",2024-12-10
CUST_0194,4,Promoter,10,"No feedback, everything seems to be working fine.",2024-01-21
CUST_0195,1,Detractor,0,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-08-15
CUST_0196,2,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-02-05
CUST_0197,3,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-06-02
CUST_0198,2,Detractor,0,"No feedback, everything seems to be working fine.",2024-03-20
CUST_0199,2,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-05-20
CUST_0200,1,Passive,5,I love the new commentator! Great addition to the team.,2024-05-07
CUST_0201,3,Promoter,10,"The app keeps crashing, please fix it.",2024-04-16
CUST_0202,5,Promoter,10,Subscription price is too high for what's offered.,2024-10-19
CUST_0203,2,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-03-14
CUST_0204,4,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-01-02
CUST_0205,5,Passive,5,"No feedback, everything seems to be working fine.",2024-01-10
CUST_0206,5,Detractor,0,Subscription price is too high for what's offered.,2024-07-08
CUST_0207,5,Passive,5,I love the new commentator! Great addition to the team.,2024-12-30
CUST_0208,4,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-11-01
CUST_0209,5,Detractor,0,The streaming quality was terrible during the last game.,2024-04-08
CUST_0210,1,Promoter,10,Wish there were more pre-game analysis segments.,2024-03-15
CUST_0211,3,Passive,5,"No feedback, everything seems to be working fine.",2024-04-30
CUST_0212,4,Detractor,0,"No feedback, everything seems to be working fine.",2024-02-22
CUST_0213,5,Detractor,0,"No feedback, everything seems to be working fine.",2024-01-26
CUST_0214,4,Detractor,0,"The app keeps crashing, please fix it.",2024-05-23
CUST_0215,1,Passive,5,The streaming quality was terrible during the last game.,2024-07-08
CUST_0216,1,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-01-10
CUST_0217,4,Detractor,0,"No feedback, everything seems to be working fine.",2024-03-26
CUST_0218,3,Promoter,10,Subscription price is too high for what's offered.,2024-03-17
CUST_0219,3,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-12-21
CUST_0220,1,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-07
CUST_0221,2,Passive,5,"The app keeps crashing, please fix it.",2024-03-16
CUST_0222,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-09-22
CUST_0223,3,Passive,5,Wish there were more pre-game analysis segments.,2024-09-07
CUST_0224,4,Detractor,0,Subscription price is too high for what's offered.,2024-10-22
CUST_0225,2,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-05-04
CUST_0226,2,Passive,5,"No feedback, everything seems to be working fine.",2024-04-10
CUST_0227,2,Promoter,10,The streaming quality was terrible during the last game.,2024-09-14
CUST_0228,3,Passive,5,"No feedback, everything seems to be working fine.",2024-11-30
CUST_0229,1,Passive,5,I love the new commentator! Great addition to the team.,2024-08-18
CUST_0230,2,Promoter,10,The streaming quality was terrible during the last game.,2024-12-09
CUST_0231,5,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-01-03
CUST_0232,2,Passive,5,I love the new commentator! Great addition to the team.,2024-05-31
CUST_0233,5,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-06-18
CUST_0234,3,Promoter,10,I love the new commentator! Great addition to the team.,2024-05-20
CUST_0235,4,Passive,5,Wish there were more pre-game analysis segments.,2024-01-31
CUST_0236,2,Promoter,10,"No feedback, everything seems to be working fine.",2024-04-26
CUST_0237,1,Promoter,10,Wish there were more pre-game analysis segments.,2024-04-19
CUST_0238,5,Promoter,10,Wish there were more pre-game analysis segments.,2024-06-05
CUST_0239,3,Promoter,10,I love the new commentator! Great addition to the team.,2024-02-13
CUST_0240,4,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-10-06
CUST_0241,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-03-20
CUST_0242,2,Promoter,10,"No feedback, everything seems to be working fine.",2024-10-23
CUST_0243,5,Promoter,10,"The app keeps crashing, please fix it.",2024-06-22
CUST_0244,2,Passive,5,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-03-26
CUST_0245,5,Promoter,10,"The app keeps crashing, please fix it.",2024-06-10
CUST_0246,5,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-10-06
CUST_0247,2,Passive,5,The streaming quality was terrible during the last game.,2024-11-08
CUST_0248,4,Passive,5,"No feedback, everything seems to be working fine.",2024-12-29
CUST_0249,2,Detractor,0,"The app keeps crashing, please fix it.",2024-12-27
CUST_0250,3,Passive,5,Wish there were more pre-game analysis segments.,2024-10-12
CUST_0251,4,Detractor,0,Subscription price is too high for what's offered.,2024-11-19
CUST_0252,1,Passive,5,Subscription price is too high for what's offered.,2024-09-23
CUST_0253,1,Promoter,10,I love the new commentator! Great addition to the team.,2024-04-12
CUST_0254,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-10-07
CUST_0255,5,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-29
CUST_0256,3,Promoter,10,"No feedback, everything seems to be working fine.",2024-05-18
CUST_0257,3,Promoter,10,Wish there were more pre-game analysis segments.,2024-11-11
CUST_0258,5,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-09-13
CUST_0259,4,Promoter,10,"No feedback, everything seems to be working fine.",2024-07-29
CUST_0260,5,Promoter,10,The streaming quality was terrible during the last game.,2024-06-02
CUST_0261,4,Detractor,0,"No feedback, everything seems to be working fine.",2024-02-20
CUST_0262,5,Promoter,10,The streaming quality was terrible during the last game.,2024-07-31
CUST_0263,3,Detractor,0,I love the new commentator! Great addition to the team.,2024-01-11
CUST_0264,1,Promoter,10,"No feedback, everything seems to be working fine.",2024-03-13
CUST_0265,5,Detractor,0,"The app keeps crashing, please fix it.",2024-10-03
CUST_0266,1,Passive,5,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-04-16
CUST_0267,2,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-10-03
CUST_0268,1,Detractor,0,"No feedback, everything seems to be working fine.",2024-03-26
CUST_0269,1,Passive,5,Wish there were more pre-game analysis segments.,2024-09-14
CUST_0270,2,Detractor,0,"No feedback, everything seems to be working fine.",2024-01-27
CUST_0271,5,Promoter,10,Subscription price is too high for what's offered.,2024-06-30
CUST_0272,4,Passive,5,I love the new commentator! Great addition to the team.,2024-10-08
CUST_0273,5,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-05-31
CUST_0274,5,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-07-19
CUST_0275,3,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-02-24
CUST_0276,2,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-08-03
CUST_0277,1,Promoter,10,The streaming quality was terrible during the last game.,2024-05-31
CUST_0278,4,Promoter,10,Subscription price is too high for what's offered.,2024-06-06
CUST_0279,3,Detractor,0,Wish there were more pre-game analysis segments.,2024-03-11
CUST_0280,2,Detractor,0,Subscription price is too high for what's offered.,2024-12-28
CUST_0281,5,Promoter,10,I love the new commentator! Great addition to the team.,2024-11-12
CUST_0282,1,Detractor,0,"No feedback, everything seems to be working fine.",2024-10-19
CUST_0283,2,Promoter,10,Wish there were more pre-game analysis segments.,2024-07-18
CUST_0284,2,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-08-31
CUST_0285,3,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-03-14
CUST_0286,4,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-05-24
CUST_0287,5,Detractor,0,"The app keeps crashing, please fix it.",2024-02-09
CUST_0288,4,Promoter,10,"No feedback, everything seems to be working fine.",2024-11-17
CUST_0289,3,Passive,5,The streaming quality was terrible during the last game.,2024-07-19
CUST_0290,3,Detractor,0,"The app keeps crashing, please fix it.",2024-05-06
CUST_0291,5,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-01-28
CUST_0292,5,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-07-01
CUST_0293,3,Passive,5,The streaming quality was terrible during the last game.,2024-06-29
CUST_0294,5,Passive,5,I love the new commentator! Great addition to the team.,2024-03-08
CUST_0295,1,Detractor,0,"No feedback, everything seems to be working fine.",2024-11-02
CUST_0296,1,Promoter,10,"No feedback, everything seems to be working fine.",2024-01-18
CUST_0297,2,Passive,5,Subscription price is too high for what's offered.,2024-09-18
CUST_0298,2,Detractor,0,I love the new commentator! Great addition to the team.,2024-03-09
CUST_0299,5,Passive,5,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-11-23
CUST_0300,5,Passive,5,"The app keeps crashing, please fix it.",2024-12-11
CUST_0301,4,Passive,5,"No feedback, everything seems to be working fine.",2024-04-08
CUST_0302,4,Detractor,0,The streaming quality was terrible during the last game.,2024-09-01
CUST_0303,4,Passive,5,I love the new commentator! Great addition to the team.,2024-11-23
CUST_0304,4,Promoter,10,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-03-03
CUST_0305,3,Detractor,0,I love the new commentator! Great addition to the team.,2024-02-29
CUST_0306,5,Promoter,10,I love the new commentator! Great addition to the team.,2024-12-08
CUST_0307,3,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-09-28
CUST_0308,1,Detractor,0,"No feedback, everything seems to be working fine.",2024-07-07
CUST_0309,3,Promoter,10,"The app keeps crashing, please fix it.",2024-08-10
CUST_0310,1,Passive,5,"No feedback, everything seems to be working fine.",2024-07-07
CUST_0311,2,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-06-27
CUST_0312,5,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-04-14
CUST_0313,5,Passive,5,"No feedback, everything seems to be working fine.",2024-05-08
CUST_0314,1,Promoter,10,Wish there were more pre-game analysis segments.,2024-02-02
CUST_0315,4,Promoter,10,"No feedback, everything seems to be working fine.",2024-07-30
CUST_0316,4,Promoter,10,The streaming quality was terrible during the last game.,2024-03-18
CUST_0317,3,Detractor,0,I love the new commentator! Great addition to the team.,2024-10-18
CUST_0318,2,Promoter,10,I love the new commentator! Great addition to the team.,2024-11-03
CUST_0319,3,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-07-23
CUST_0320,3,Promoter,10,The streaming quality was terrible during the last game.,2024-07-21
CUST_0321,4,Promoter,10,I love the new commentator! Great addition to the team.,2024-09-24
CUST_0322,1,Promoter,10,Subscription price is too high for what's offered.,2024-07-08
CUST_0323,2,Passive,5,Subscription price is too high for what's offered.,2024-05-10
CUST_0324,3,Passive,5,I love the new commentator! Great addition to the team.,2024-12-22
CUST_0325,1,Detractor,0,"No feedback, everything seems to be working fine.",2024-08-15
CUST_0326,3,Detractor,0,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-05-05
